	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN10178_c0_g1	SMP_1	SMP_2	0.126198228	4.402685469	0.85443001	1
TRINITY_DN10178_c0_g2	SMP_1	SMP_2	-0.033624979	3.92053848	0.964672272	1
TRINITY_DN10179_c0_g1	SMP_1	SMP_2	-0.33038208	6.339604253	0.616570056	1
TRINITY_DN10180_c0_g1	SMP_1	SMP_2	-0.896082669	4.50780593	0.182832949	0.929660604
TRINITY_DN10180_c0_g2	SMP_1	SMP_2	-0.147694533	4.238805497	0.830307596	1
TRINITY_DN10180_c0_g3	SMP_1	SMP_2	-0.18657412	4.647835457	0.782286872	1
TRINITY_DN10180_c0_g4	SMP_1	SMP_2	0.392043524	0.175591428	0.792442655	1
TRINITY_DN10181_c0_g1	SMP_1	SMP_2	0.658820997	3.116701079	0.340672188	1
TRINITY_DN10182_c0_g1	SMP_1	SMP_2	0.575408752	2.757379807	0.413394537	1
TRINITY_DN10182_c0_g2	SMP_1	SMP_2	-0.022344283	4.847248384	0.97657066	1
TRINITY_DN10182_c0_g3	SMP_1	SMP_2	0.272845562	1.864963398	0.75576334	1
TRINITY_DN10182_c0_g4	SMP_1	SMP_2	0.475969797	1.040746416	0.587167489	1
TRINITY_DN10182_c0_g6	SMP_1	SMP_2	-0.115320574	4.460731528	0.866203105	1
TRINITY_DN10182_c0_g7	SMP_1	SMP_2	0.194289564	2.515962039	0.795742021	1
TRINITY_DN10183_c1_g1	SMP_1	SMP_2	-0.102094836	4.871059749	0.880636226	1
TRINITY_DN10183_c1_g2	SMP_1	SMP_2	0.205721261	1.745066937	0.809097965	1
TRINITY_DN10183_c1_g3	SMP_1	SMP_2	-1.05358766	4.476381095	0.119336029	0.79967488
TRINITY_DN10183_c1_g4	SMP_1	SMP_2	-0.323643919	4.357929856	0.632285067	1
TRINITY_DN10184_c0_g1	SMP_1	SMP_2	-0.232012454	5.088968355	0.731052988	1
TRINITY_DN10184_c0_g2	SMP_1	SMP_2	0.236546504	1.477980281	0.775121548	1
TRINITY_DN10185_c0_g1	SMP_1	SMP_2	-0.562994765	2.448898512	0.436320162	1
TRINITY_DN10186_c0_g1	SMP_1	SMP_2	-1.622156408	2.637630493	0.024642625	0.321091352
TRINITY_DN10187_c0_g1	SMP_1	SMP_2	-0.606258958	3.600403082	0.373472561	1
TRINITY_DN10188_c0_g1	SMP_1	SMP_2	0.431416366	1.870600617	0.562276822	1
